ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Title_key,imdbAverageRating,imdbNumVotes,Category
1,The Irishman,2019,18+,98/100,1,0,0,0,0,the irishman,7.8,454459.0,Movie
2,Dangal,2016,7+,97/100,1,0,0,0,0,dangal,,,Movie
3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,david attenborough: a life on our planet,8.9,35438.0,Movie
4,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,lagaan: once upon a time in india,8.1,124641.0,Movie
5,Roma,2018,18+,94/100,1,0,0,0,0,roma,7.6,174556.0,Movie
6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,to all the boys i've loved before,7.0,133151.0,Movie
7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,the social dilemma,7.6,92230.0,Movie
8,Okja,2017,13+,92/100,1,0,0,0,0,okja,7.3,138070.0,Movie
9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,the ballad of buster scruggs,7.2,177071.0,Movie
10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,the trial of the chicago 7,7.7,200640.0,Movie
11,Article 15,2019,18+,92/100,1,0,0,0,0,article 15,8.1,39015.0,Movie
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,"jim & andy: the great beyond- featuring a very special, contractually obligated mention of tony clifton",,,Movie
13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,dolemite is my name,7.2,66702.0,Movie
14,Mudbound,2017,18+,91/100,1,0,0,0,0,mudbound,7.4,56186.0,Movie
15,Swades,2004,all,91/100,1,0,0,0,0,swades,8.2,102067.0,Movie
16,Fyre,2019,18+,91/100,1,0,0,0,0,fyre,7.2,53639.0,Movie
17,Miss Americana,2020,18+,90/100,1,0,0,0,0,miss americana,7.4,26007.0,Movie
18,Virunga,2014,16+,90/100,1,0,0,0,0,virunga,8.1,12539.0,Movie
19,Black Friday,2004,18+,90/100,1,0,0,0,0,black friday,,,Movie
20,Talvar,2015,7+,90/100,1,0,0,0,0,talvar,,,Movie
21,The King,2019,18+,90/100,1,0,0,0,0,the king,6.8,2634.0,Movie
21,The King,2019,18+,90/100,1,0,0,0,0,the king,7.3,166193.0,Movie
22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,john mulaney: kid gorgeous at radio city,7.9,9468.0,Movie
23,I Am Mother,2019,13+,89/100,1,0,0,0,0,i am mother,6.7,103287.0,Movie
24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,tell me who i am,7.6,18456.0,Movie
25,The Departed,2006,18+,89/100,1,0,0,0,0,the departed,8.5,1492506.0,Movie
26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,winter on fire: ukraine's fight for freedom,8.3,21160.0,Movie
27,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,0,terminator 2: judgment day,8.6,1236367.0,Movie
28,I Lost My Body,2019,18+,89/100,1,0,0,0,0,i lost my body,7.5,37899.0,Movie
29,Django Unchained,2012,18+,89/100,1,0,0,0,0,django unchained,8.5,1797420.0,Movie
30,The Half of It,2020,13+,89/100,1,0,0,0,0,the half of it,6.9,45604.0,Movie
31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,the boy who harnessed the wind,7.6,48547.0,Movie
32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,the devil all the time,7.1,162187.0,Movie
33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,the fundamentals of caring,7.3,83271.0,Movie
34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,pieces of a woman,7.0,58388.0,Movie
35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,gerald's game,6.5,136606.0,Movie
36,On Body and Soul,2017,,88/100,1,0,0,0,0,on body and soul,7.5,30857.0,Movie
37,Shutter Island,2010,18+,88/100,1,0,0,0,0,shutter island,8.2,1555567.0,Movie
38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,always be my maybe,6.5,454.0,Movie
38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,always be my maybe,6.7,64997.0,Movie
39,The Intouchables,2011,7+,88/100,1,0,0,0,0,the intouchables,8.5,981687.0,Movie
40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,bill burr: paper tiger,8.0,13115.0,Movie
41,Special 26,2013,,87/100,1,0,0,0,0,special 26,,,Movie
42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,kiss the ground,,,Movie
43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,crip camp: a disability revolution,,,Movie
44,Extraction,2020,18+,87/100,1,0,0,0,0,extraction,6.8,279305.0,Movie
45,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,no direction home: bob dylan,,,Movie
46,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,kabhi khushi kabhie gham,,,Movie
47,His House,2020,16+,87/100,1,0,0,0,0,his house,6.4,51689.0,Movie
48,Super Deluxe,2019,18+,87/100,1,0,0,0,0,super deluxe,,,Movie
49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,the guernsey literary & potato peel pie society,,,Movie
50,A Secret Love,2020,18+,87/100,1,0,0,0,0,a secret love,7.8,5098.0,Movie
