week,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10,Category,Language,show_title_key
2022-08-21,1,Day Shift,S0,63390000,2,Movie,English,day shift
2022-08-21,2,Look Both Ways,S0,48060000,1,Movie,English,look both ways
2022-08-21,3,The Next 365 Days,S0,39310000,1,Movie,English,the next 365 days
2022-08-21,4,Purple Hearts,S0,23410000,4,Movie,English,purple hearts
2022-08-21,5,Untold: The Girlfriend Who Didn't Exist,S0,20050000,1,Movie,English,untold: the girlfriend who didn't exist
2022-08-21,6,The Gray Man,S0,14640000,5,Movie,English,the gray man
2022-08-21,7,The Angry Birds Movie 2,S0,11470000,1,Movie,English,the angry birds movie 2
2022-08-21,8,Uncharted,S0,8660000,3,Movie,English,uncharted
2022-08-21,9,The Sea Beast,S0,8120000,7,Movie,English,the sea beast
2022-08-21,10,Inside the Mind of a Cat,S0,6990000,1,Movie,English,inside the mind of a cat
2022-08-21,1,Royalteen,S0,11910000,1,Movie,Non-English,royalteen
2022-08-21,2,Code Name: Emperor,S0,10100000,2,Movie,Non-English,code name: emperor
2022-08-21,3,Carter,S0,7180000,3,Movie,Non-English,carter
2022-08-21,4,Fullmetal Alchemist The Revenge of Scar,S0,5820000,1,Movie,Non-English,fullmetal alchemist the revenge of scar
2022-08-21,5,Darlings,S0,5640000,3,Movie,Non-English,darlings
2022-08-21,6,Blood Red Sky,S0,5180000,14,Movie,Non-English,blood red sky
2022-08-21,7,Bank Robbers: The Last Great Heist,S0,4070000,2,Movie,Non-English,bank robbers: the last great heist
2022-08-21,8,Shabaash Mithu (Hindi),S0,3750000,2,Movie,Non-English,shabaash mithu (hindi)
2022-08-21,9,Nikamma,S0,2880000,1,Movie,Non-English,nikamma
2022-08-21,10,RRR (Hindi),S0,2250000,14,Movie,Non-English,rrr (hindi)
2022-08-21,1,The Sandman,S1,77240000,3,TV,English,the sandman
2022-08-21,2,Never Have I Ever,S3,59450000,2,TV,English,never have i ever
2022-08-21,3,Stranger Things,S4,28800000,13,TV,English,stranger things
2022-08-21,4,Locke & Key,S3,28310000,2,TV,English,locke & key
2022-08-21,5,Echoes,S1,25630000,1,TV,English,echoes
2022-08-21,6,Manifest,S1,24120000,16,TV,English,manifest
2022-08-21,7,Virgin River,S4,20470000,5,TV,English,virgin river
2022-08-21,8,Never Have I Ever,S1,17010000,2,TV,English,never have i ever
2022-08-21,9,Never Have I Ever,S2,16770000,4,TV,English,never have i ever
2022-08-21,10,Manifest,S2,16270000,8,TV,English,manifest
2022-08-21,1,Extraordinary Attorney Woo,S1,77430000,7,TV,Non-English,extraordinary attorney woo
2022-08-21,2,High Heat,S1,27680000,1,TV,Non-English,high heat
2022-08-21,3,A Model Family,S1,19770000,2,TV,Non-English,a model family
2022-08-21,4,Pasión de Gavilanes,S2,19530000,5,TV,Non-English,pasión de gavilanes
2022-08-21,5,Alchemy of Souls,S1,18040000,8,TV,Non-English,alchemy of souls
2022-08-21,6,Another Self,S1,17300000,4,TV,Non-English,another self
2022-08-21,7,Pasión de Gavilanes,S1,8840000,5,TV,Non-English,pasión de gavilanes
2022-08-21,8,Alba,S1,8390000,6,TV,Non-English,alba
2022-08-21,9,The Girl in the Mirror,S1,7920000,1,TV,Non-English,the girl in the mirror
2022-08-21,10,"Good Morning, Verônica",S2,7020000,3,TV,Non-English,"good morning, verônica"
2022-08-14,1,Day Shift,S0,56510000,1,Movie,English,day shift
2022-08-14,2,Purple Hearts,S0,46370000,3,Movie,English,purple hearts
2022-08-14,3,Uncharted,S0,23710000,2,Movie,English,uncharted
