rank,show_title,season_title,hours_viewed_first_28_days,Category,Language,show_title_key
1,Red Notice,S0,364020000,Movie,English,red notice
2,Don't Look Up,S0,359790000,Movie,English,don't look up
3,Bird Box,S0,282020000,Movie,English,bird box
4,The Gray Man,S0,253830000,Movie,English,the gray man
5,The Adam Project,S0,233160000,Movie,English,the adam project
6,Extraction,S0,231340000,Movie,English,extraction
7,Purple Hearts,S0,220610000,Movie,English,purple hearts
8,The Unforgivable,S0,214700000,Movie,English,the unforgivable
9,The Irishman,S0,214570000,Movie,English,the irishman
10,The Kissing Booth 2,S0,209250000,Movie,English,the kissing booth 2
1,Blood Red Sky,S0,110520000,Movie,Non-English,blood red sky
2,The Platform,S0,108090000,Movie,Non-English,the platform
3,Black Crab,S0,94130000,Movie,Non-English,black crab
4,Through My Window,S0,92440000,Movie,Non-English,through my window
5,The Takedown,S0,78630000,Movie,Non-English,the takedown
6,Below Zero,S0,78300000,Movie,Non-English,below zero
7,Rogue City,S0,66600000,Movie,Non-English,rogue city
8,Carter,S0,61150000,Movie,Non-English,carter
9,The Forgotten Battle,S0,60940000,Movie,Non-English,the forgotten battle
10,Restless,S0,59060000,Movie,Non-English,restless
1,Stranger Things,S4,1352090000,TV,English,stranger things
2,Bridgerton,S2,656260000,TV,English,bridgerton
3,Bridgerton,S1,625490000,TV,English,bridgerton
4,Stranger Things,S3,582100000,TV,English,stranger things
5,Lucifer,S5,569480000,TV,English,lucifer
6,The Witcher,S1,541010000,TV,English,the witcher
7,Inventing Anna,S1,511920000,TV,English,inventing anna
8,13 Reasons Why,S13,496120000,TV,English,13 reasons why
9,Ozark,S4,491090000,TV,English,ozark
10,The Witcher,S2,484340000,TV,English,the witcher
1,Squid Game,S1,1650450000,TV,Non-English,squid game
2,Money Heist,S5,792230000,TV,Non-English,money heist
3,Money Heist,S4,619010000,TV,Non-English,money heist
4,All of Us Are Dead,S1,560780000,TV,Non-English,all of us are dead
5,Money Heist,S3,426400000,TV,Non-English,money heist
6,Extraordinary Attorney Woo,S1,341460000,TV,Non-English,extraordinary attorney woo
7,Café con aroma de mujer,S1,326910000,TV,Non-English,café con aroma de mujer
8,Lupin,S1,316830000,TV,Non-English,lupin
9,Elite,S3,275300000,TV,Non-English,elite
10,Who Killed Sara?,S1,266430000,TV,Non-English,who killed sara?
