title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,Title_key
Ariel,movie,"Comedy, Crime, Drama",1988,tt0094675,7.4,9226.0,,ariel
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8054.0,,shadows in paradise
Forrest Gump,movie,"Drama, Romance",1994,tt0109830,8.8,2387285.0,,forrest gump
American Beauty,movie,Drama,1999,tt0169547,8.3,1251348.0,,american beauty
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,528407.0,,the fifth element
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7.0,216218.0,,jarhead
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,455749.0,,unforgiven
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1139833.0,,eternal sunshine of the spotless mind
Amores Perros,movie,"Drama, Thriller",2000,tt0245712,8.0,268277.0,,amores perros
A History of Violence,movie,"Action, Crime, Drama",2005,tt0399146,7.4,265101.0,,a history of violence
Talk to Her,movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120109.0,,talk to her
8 Mile,movie,"Drama, Music",2002,tt0298203,7.2,339191.0,,8 mile
Paradise Now,movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24534.0,,paradise now
Million Dollar Baby,movie,"Drama, Sport",2004,tt0405159,8.1,747955.0,,million dollar baby
Billy Elliot,movie,"Drama, Music",2000,tt0249462,7.7,148246.0,,billy elliot
American History X,movie,"Crime, Drama",1998,tt0120586,8.5,1234001.0,,american history x
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252711.0,,mars attacks!
Before Sunrise,movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,360443.0,,before sunrise
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1382670.0,,memento
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,190977.0,,hero
Before Sunset,movie,"Drama, Romance",2004,tt0381681,8.1,303156.0,,before sunset
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8.0,191157.0,,nausicaä of the valley of the wind
Open Water,movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57971.0,,open water
Raiders of the Lost Ark,movie,"Action, Adventure",1981,tt0082971,8.4,1077204.0,,raiders of the lost ark
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,tt0087469,7.5,553483.0,,indiana jones and the temple of doom
Dirty Dancing,movie,"Drama, Music, Romance",1987,tt0092890,7.1,270112.0,,dirty dancing
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,tt0097576,8.2,840666.0,,indiana jones and the last crusade
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,tt0086960,7.4,224586.0,,beverly hills cop
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143828.0,,beverly hills cop ii
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1766237.0,,gladiator
All About My Mother,movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107022.0,,all about my mother
Léon: The Professional,movie,"Action, Crime, Drama",1994,tt0110413,8.5,1306197.0,,léon: the professional
Open Hearts,movie,"Drama, Romance",2002,tt0315543,7.5,11324.0,,open hearts
Taxi Driver,movie,"Crime, Drama",1976,tt0075314,8.2,982232.0,,taxi driver
Run Lola Run,movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213785.0,,run lola run
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1382422.0,,back to the future
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,948404.0,,snatch
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,969534.0,,scarface
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,tt0243862,7.0,14236.0,,italian for beginners
The Untouchables,movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,344353.0,,the untouchables
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,552486.0,,charlie and the chocolate factory
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2115220.0,,the lord of the rings: the fellowship of the ring
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1879458.0,,the lord of the rings: the two towers
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,tt0167260,9.0,2084999.0,,the lord of the rings: the return of the king
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,462076.0,,princess mononoke
Spirited Away,movie,"Adventure, Animation, Family",2001,tt0245429,8.6,914360.0,,spirited away
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,342076.0,,"o brother, where art thou?"
